Derge,Taisho,Note
1,,"This comes from the reconciliation of all the other sheets, with indexes above D4464 being removed"
1-1,1444,
1-3,1446,
1-4,1445,
1-5,1447,
1-6,1448,
1-17,1450,
2,1454,
3,1442,
4,1455,
5,1443,
6,1451,
7,1435,
7a,,
8,220(1),
9,"222,220(2),223,221",
10,220(3),
12,"224,225,226,227,228,220(4-5)",
13,229,
14,"220(16),231",
15,260,
16,"235,236,237,238,239,220(9)",
17,"240,241,242,243,244,220(10)",
18,248,
19,249,
21,"250,251,252,253,254,255,256,257",
22,258,
24,"232,233,310(46),220(7)",
25,230,
31,"109,110",
33,"1244,1245",?very odd?
34,19,
36,138,
39,597,
41,,"originally 99(583), I won't import that as I won't have the details for the chapters of 99"
42,,99(583)
44,"279,278",
44-31,"285,287,286",
44-45,"293,294,295",
44-45e,"296,297","in the Derge, this text is part of the 45th chapter, we split it here as it has some separate correspondences"
45,"311,310(1)",
46,310(2),
47,"310(3),312",
48,310(4),
49,"310(5),360,361,362,363,364",
50,"313,310(6)",
51,310(7),
52,310(8),
53,"310(9),314",
54,"310(10),315",
55,310(11),
56,"316,310(12)",
57,310(14),
58,"310(13),317",
59,"310(15),319,318",
60,"310(16),320",
61,310(17),
62,"310(18),321",
63,"310(19),322,323",
64,310(20),
65,"310(21),324",
66,310(22),
67,310(23),
68,"310(24),325,326",
69,"327,310(25)",
70,310(26),
71,"328,310(27),329",
72,"310(28),330,331",
73,"333,332,310(29)",
74,"310(30),334,336,335",
75,310(31),
76,"310(32),337",
77,"339,338,310(33)",
78,310(34),
79,"310(35),340",
80,"310(36),341,342",
81,"343,344,310(37)",
82,"310(38),346,345",
83,"310(39),347",
84,310(40),
85,"348,310(41)",
86,"349,310(42)",
87,"310(43),350,352,351",
88,310(44),
89,310(45),
90,"232,233,310(46),220(7)",
91,310(47),
92,"353,310(48)",
93,"354,310(49)",
94,425,
95,"187,186",
96,"818,817",
97,589,
98,1375,
100,"357,358,359",
101,657,
102,"424,423",
103,484,
104,"289,290",
105,486,
106,"675,676,677,679,678","? not sure these are all the same, it's not very clear in the Hobogirin... maybe replacing with 675,676 is safer"
107,"670,671,672",
108,,"this is just one chapter of the Lamkaravatara, translated from the Chinese (T0670)"
109,"467,466,465,464",
110,"681,682",
111,380,
112,"158,157",
113,"262,263,264",
114,1374,
115,"366,367",
116,1050,
117,"462,461",
118,"355,356",
119,"374,375,376",add 377?
120,"376,375(1-18),374(1-6)"," this is quite complex, see Taisho-group spreadsheet ?"
121,390,
123,653,
127,639,640 and 641 are partial translations
129,648,
130,"371,372",
131,"632,633,634",
132,642,
133,"419,416,417,418",
134,"382,381",
135,273,
136,"378,379",
138,"397(9),402",
139,"1344,1345",
140,"1016,1014,1009,1011,1017,1013,1018,1012,1015",
141,1360,
142,654,
145,299,
146,"271,272",
147,"397(1),397(2),398",
148,"404,397(8)",
149,"349,310(42)",different translation of the same indic text as D86 ?
151,544,
152,"400,397(5)",
153,598,
154,601,
155,599,
156,635,
157,"625,624",
160,"585,586,587",
161,588,
163,433,
164,437,
165,533,
167,"420,421",
169,"399,397(3)",
170,"567,568",
171,"561,560,559",
172,"661,473,662",
173,846,1643 was also indicated but I think it's a commentary?
174,"481,482",
175,"397(12),403",
176,"474,475,476",
177,774,
178,472,
179,"460,1489,1490",
180,"652,651,650",
181,220(11-15),
183,705,
184,488,
185,"302,303,304",
187,,"original indication: 278(28),279(33) but cannot really record that because we don't have outlines for these yet"
190,"566,565",
191,480,
192,573,
196,"470,471",
199,452,
200,807,
201,305,
202,"646,645",
204,702,
207,"813,814",
209,"835,836",
210,"709,712,710,708,711",
211,"124,123",
213,"119,118,120",
216,"629,628,627,626",
217,545,
218,1494,
219,"1491,1493",
220,653,
221,"514,516,515",add 593 ? see Taisho-groups
222,270,
226,"576,575,577",
227,"275,274",
228,810,
230,397(16),
231,"659,658,489",
232,387,
235,"992,989,991,993",
236,945,
238,761,
239,"410,411",
240,"266,267,268",
242,998,
246,"833,834",
251,"773,772",maybe also 771? see Taisho-groups
252,774,
256,1484,
257,397(14),
258,"666,667",
259,"829,830,828",
260,"407,405,408,406",
261,"310(38),346,345",
262,443,
266,434,
269,435,
270,"1333,1334,1147",
271,"427,428,429,430,431",
272,310(34),
273,"1348,1349",
274,438,
275,680,
276,,"TT has 811,831 but these two don't seem related... ?"
277,"430,431",suspicous... same as 271 ?
278,429,
287,728,also 721(1-18) but will be automatic once we have outlines
289,41,also 26(62)
290,,26(190) but we have no outline
291,,26(191)
292,,99(980)
293,,99(981)
296,,99(1226)
297,776,also 26(181)
300,,99(726)
307,759,
309,801,
310,758,
313,1362,also 26(165)
316,"763,762","125(25),99(403)"
317,"763,762",
318,"97,98",
319,"688,689",
321,700,
326,"210,211,212,213",
329,592,
330,,99(1299)
331,,99(583)
332,704,
335,785,
336,,also 785 but doesn't fit in the model... maybe 335+336 should be grouped together?
337,"110,109",99(379)
338,"78,79,80,81,755","initally just 80,81, see Taisho-groups ?"
339,"78,26(170),79,81","initially just 78,26(170),79,81, see Taisho-groups ?"
341,202,
342,584,
343,200,
345,595,
347,173,
348,166,also 153(5)
350,162,
351,171,"152(14),"
352,21,also 1(21)
353,156,
354,2881,really? odd
358,"551,552,1300,1301",
359a,784,
360,"1189,1190,1188,1187",see Taisho-groups ?
417,892,
438,"1108B,1108A","Dharani / stotra, to remove?"
442,885,
452,887,
466,890,
479,"866,882,865",
481,888,
482,"1171,1172",These two are not grouped together in the Hobogirin... what to do?
487,,"? originally same parallels as D17 but does't sound right... this is quite entangled, TT indicated only a parallel with 244"
488,,244(14-25) ?
489,"240,241,242,243,244,220(10)",same as D17 so has the same parallels
490,886,
494,848,
503,"449,450,451",originally also contained 1331 which is in a different group in the Taisho...?
504,,"originally 449,450,451,1331?? but can't really be the same as before?"
505,"1023,1022a",
506,"1006,1005a,1007",
507,"1023,1022a",Dharani
508,1008,
510,1024,
511,"1348,1349",
512,"1147,1333,1334",same as D270 so same parallels
513,,"1346,1347, not recording because Dharani cases are unclear"
514,"918,919",
516,"1357,1356,1358,1359",Dharani
518,1387,
522,"1397,1398",
525,"1016,1014,1009,1011,1017,1013,1018,1012,1015",Dharani
526,1360,
527,1374,
528,,"originally 1353,1352,1355,1029,1354,1351 but ignoring"
529,1371,
530,258,
531,"250,251,252,253,254,255,256,257",
539,1411,
540,1386,
542,"1408,1409",
543,"1191,1215,1216",does not correspond to a group in the Taisho! remove?
552,1190,
553,230,
554,249,
555,"663,665,664",these 3 are entangled... not sure how to deal with that
556,"663,665,664",same
557,"663,999,665,664",same... is 557 similar to 556 ?
558,999,
559,"985,984,982,983A",
561,"1153,1154",
564,,"removing (Dharani) 1257,1255,1254,1256"
565,1257,removing (Dharani)
566,1257,removing (Dharani)
570,1404,removing (Dharani)
