textT01n0001,T0001
textT01n0005,T0005
textT01n0010,T0010
textT01n0016,T0016
textT01n0017,T0017
textT01n0022,T0022
textT01n0026,T0026
textT02n0099,T0099
textT02n0100,T0100
textT02n0101,T0101
textT02n0120,T0120
textT02n0125,T0125
textT02n0128,T0128
textT02n0129,T0129
textT02n0130,T0130
textT02n0142,T0142
textT03n0148,T0148
textT03n0150A,T0150A
textT03n0152,T0152
textT03n0154,T0154
textT03n0171,T0171
textT03n0184,T0184
textT03n0190,T0190
textT04n0192,T0192
textT04n0196,T0196
textT04n0198,T0198
textT04n0200,T0200
textT04n0201,T0201
textT04n0202,T0202
textT04n0203,T0203
textT04n0205,T0205
textT04n0206,T0206
textT04n0207,T0207
textT04n0208,T0208
textT04n0209,T0209
textT04n0210,T0210
textT04n0211,T0211
textT04n0212,T0212
textT04n0213,T0213
textT04n0217,T0217
textT04n0219,T0219
textT08n0222,T0222
textT08n0224,T0224
textT08n0227,T0227
textT08n0232,T0232
textT08n0234,T0234
textT08n0235,T0235
textT08n0243,T0243
textT08n0245,T0245
textT08n0246,T0246
textT08n0250,T0250
textT08n0258,T0258
textT09n0262,T0262
textT09n0270,T0270
textT09n0273,T0273
textT09n0275,T0275
textT09n0276,T0276
textT09n0277,T0277
textT09n0278,T0278
textT10n0279,T0279
textT09n0285,T0285
textT10n0293,T0293
textT10n0301,T0301
textT10n0304,T0304
textT10n0306,T0306
textT11n0310,T0310
textT11n0316,T0316
textT11n0317,T0317
textT12n0322,T0322
textT12n0325,T0325
textT12n0332,T0332
textT12n0345,T0345
textT12n0347,T0347
textT12n0350,T0350
textT12n0351,T0351
textT12n0352,T0352
textT12n0353,T0353
textT12n0358,T0358
textT12n0360,T0360
textT12n0365,T0365
textT12n0366,T0366
textT12n0371,T0371
textT12n0374,T0374
textT12n0384,T0384
textT12n0386,T0386
textT12n0387,T0387
textT13n0389,T0389
textT12n0396,T0396
textT13n0397-14,T0397-14
textT13n0397-15,T0397-15
textT13n0402,T0402
textT13n0403,T0403
textT13n0409,T0409
textT13n0412,T0412
textT13n0417,T0417
textT13n0418,T0418
textT13n0423,T0423
textT14n0449,T0449
textT14n0453,T0453
textT14n0454,T0454
textT14n0455,T0455
textT14n0456,T0456
textT14n0463,T0463
textT14n0468,T0468
textT14n0474,T0474
textT14n0480,T0480
textT14n0507,T0507
textT14n0553,T0553
textT14n0555,T0555
textT14n0556,T0556
textT14n0575,T0575
textT15n0590,T0590
textT15n0592,T0592
textT15n0595,T0595
textT15n0598,T0598
textT15n0600,T0600
textT15n0606,T0606
textT15n0613,T0613
textT15n0614,T0614
textT15n0615,T0615
textT15n0616,T0616
textT15n0617,T0617
textT15n0618,T0618
textT15n0620,T0620
textT15n0639,T0639
textT15n0642,T0642
textT15n0643,T0643
textT16n0663,T0663
textT16n0665,T0665
textT16n0666,T0666
textT16n0668,T0668
textT16n0669,T0669
textT16n0670,T0670
textT16n0673,T0673
textT16n0675,T0675
textT16n0680,T0680
textT16n0684,T0684
textT16n0685,T0685
textT16n0686,T0686
textT16n0687,T0687
textT16n0692,T0692
textT16n0698,T0698
textT16n0699,T0699
textT16n0701,T0701
textT16n0705,T0705
textT16n0706,T0706
textT16n0711,T0711
textT16n0721,T0721
textT17n0753,T0753
textT17n0779,T0779
textT17n0784,T0784
textT17n0786,T0786
textT17n0793,T0793
textT17n0801,T0801
textT17n0807,T0807
textT17n0830,T0830
textT17n0839,T0839
textT17n0842,T0842
textT18n0848,T0848
textT18n0865,T0865
textT18n0867,T0867
textT18n0869,T0869
textT18n0890,T0890
