"°cchānāmatantra","K428"
"°cchāparivarta(sūtra)","K48"
"°gatikā-","K597"
"°kadharmaparyāyapravartanena","K546"
"°kaśāstrakārikā","K582"
"°Kāvyākaraṇasūtra","K415"
"°kṣetranirdeśanavyūha","K458"
"°mādhya(sūtra)","K410"
"°mādikalparājasūtra","K1256"
"°mivyākhyāna","K550"
"°paramādyamantrakalpakhaṇḍa","K1256"
"°pratahārya°","K22(22)"
"°ṣanāmasūtravyākhyāna","K560"
"°śapramāṇaśāstra","K607"
"°sarāvidyārājñī°","K454"
"°sarvagati°","K1161"
"°śāstravyākhyā","K600"
"°śatikā","K582"
"°siddha°","K602"
"°śrīparivarta","K12"
"°tadharmaparyāya","K497"
"°tāmañjuśrīparivartāparaparyāyā","K10"
"°tanirdeśasūtra","K8"
"°thanāmadhāraṇī","K292"
"°vaipulyasūtrendrarāja","K427"
"°vartacakrasūtra","K135"
"°vikāra","K265"
"°yabhāṣya","K576"
"°yadhāraṇī","K288"
"°yatāvatāramudrāsūtra","K138"
"(Abhidharma)dharmaskandha(pādaśāstra)","K945"
"(Abhidharma)dhātukāya(pādaśāśtra)","K948"
"(Abhidharma)jñānaprasthānaśāstra","K943;K944"
"(Abhidharma)mahāvibhāṣa(śāstra)","K952"
"(Abhidharma)Nyāyānusāraśāstra","K956"
"(Abhidharma)prakaraṇapāda(śāstra)","K949;K950"
"(Abhidharma)saṅgītīparyāya(pādaśāstra)","K946"
"(Abhidharma)vibhāṣā(śāstra)","K951"
"(Abhidharma)vijñānakāya(pādaśāstra)","K947"
"Abhidharmahṛdaya(śāstra)","K959"
"Abhidharmahṛdayaśāstra","K958"
"Abhidharmakośakārikā","K954"
"Abhidharmakośaśastra","K955"
"Abhidharmakośaśāstra","K953"
"Abhidharmakośaśāstrakārikāvibhāṣya","K957"
"Abhidharmāmṛta(rasaśāstra)","K961"
"Abhidharmasamuccaya","K572"
"Abhidharmasamuccayavyākhyā","K576"
"Abhidharmāvatāraprakaraṇā","K964"
"Abhiniṣkramaṇa(sūtra)","K468"
"Abhiniṣkramaṇasūtra","K802"
"Acintyabuddhaviṣayanirdeśa(sūtra)","K43"
"Acintyabuddhaviṣayānirdeśa(sūtra)","K22(35)"
"Acintyaprabhāsanirdeśa","K381"
"Adbhutadharmaparyāyasūtra","K236;K237"
"Adbhutadharmparyāya","K383"
"(Adhy)ardhaśatikāprajñāpāramitāsūtra","K1275"
"(Adhya)Ardhaśātikaprajñāpāramitāsūtra","K1256"
"Adhyardhaśatikāprajñāpāramitāsūtra","K1(10);K18;K1189"
"Adhyāśayasañcodana(sūtra)","K22(25);K37"
"Advayasamatāvijayakalparāja","K1434"
"Agrapradīpadhāraṇī(vidyārāja)(sūtra)","K1108"
"Agrapradīpadhāraṇīvidyaraja(sūtra)","K347;K348;K349;K350"
"Ajātaśatrukaukṛtyavinodana(sūtra)","K175;K179;K180;K1408"
"Ākāśagarbhadhāraṇī","K1230e"
"Ākāśagarbhasūtra","K61;K62;K63"
"Akṣaraśatakavṛtti","K631"
"Akṣayamati(nirdeśa)sūtra","K70;K71"
"Akṣayamatiparipṛcchā(sūtra)","K22(45)"
"Akṣobhyatathāgatasyavyūha(sūtra)","K22(6)"
"Akṣobhyatathāgatasyavyūhasūtra","K27"
"Ālambanaparīkṣā","K628;K629"
"Alpākṣarā(prajñāpāramitā)sūtra","K1090"
"Amoghapāśahṛdaya(sūtra)","K288;K289"
"Amoghapāśahṛdayadhāraṇī(sūtra)","K1456"
"Amoghapāśahṛdayasūtra","K287;K1353"
"Amoghapāśakalparāja(sūtra)","K287"
"Anakṣarakaraṇḍakavairocanagarbha(sūtra)","K213;K214;K215"
"Anandagarbhāvakrāntinirdeśa(sūtra)","K22(14)"
"Anantamukhapariśodhananirdeśaparivarta(sūtra)","K22(2)"
"Anantamukhasādhakadhāraṇī(sūtra)","K324;K325;K326;K327;K328;K329;K330;K331;K1279"
"Anavataptanāgarājaparipṛcchāsūtra","K407"
"Angulimālīyasūtra","K708"
"Aṅgulimālīyasūtra","K410;K727"
"Anityatāsūtra","K870;K1112"
"Antarābhava(sūtra)","K414"
"Anuttaramūlamahāsankhyavajrāmoghasamayamahātantrarajasūtra","K1256"
"Aparimitaguṇānuśaṁsādhāraṇī(sūtra)","K1224i"
"Aparimitāyur(dhāraṇī)sūtra","K1089"
"Aparimitāyurjñānahṛdayadhāraṇī","K443"
"Aparimitāyus-sūtraśāstra","K565"
"Arśapraśamanasūtra","K866"
"Arthavargīyasūtra","K800"
"Arthavighuṣṭasūtra","K717;K725"
"Arthaviniścayadharmaparyāyasūtra","K1250"
"(Ārya)tārābhaṭṭarikāyanāmāṣṭottaraśataka(sūtra)","K1120"
"Aśokadattavyākaraṇa(sūtra)","K22(32);K40"
"Aśokarājasūtra","K1013"
"Aśokarājāvadāna","K1017"
"Aṣṭabuddhaka(sūtra)","K271;K276;K282;K286"
"Aṣṭādaśasāhasrikāprajñāpāramitāsūtra","K1(3)"
"Aṣṭadaśaśūnyatāśāstra","K580"
"Aṣṭamahāsthānacaityastotra","K1228a"
"Aṣṭamahāsthānacaityavandanāstava","K1228b"
"Aṣṭamaṇḍalaka(sūtra)","K1215"
"Aṣṭamaṇḍalaka°","K282"
"Aṣṭamaṇḍalakasūtra","K1304"
"Aṣṭasāhasrikāprajñāpāramitā","K1423"
"Aṣṭasāhasrikāprajñāpāramitāsūtra","K1(4);K1(5);K5;K6;K7;K9"
"Aṭānāṭīyamasūtra","K1185"
"Ātānātīyasūtra","K1307"
"Avadānaśataka","K981"
"Avaivartikacakrasūtra","K135;K136;K137"
"(Avalokiteśvaraguṇa)kāraṇḍavyūhasūtra","K1088"
"Avalokiteśvarahayagrīvadhāraṇī","K308"
"Avalokiteśvaraikādaśamukhadhāraṇī(sūtra)","K309;K310"
