T1,K647
T2,K1182
T3,K1177
T4,K747
T5,K653
T6,K654
T7,K652
T8,K1453
T9,K1247
T10,K1464
T11,K1463
T12,K1429
T13,K663
T14,K655
T15,K1252
T16,K656
T17,K718
T18,K1248
T19,K1179
T20,K657
T21,K659
T22,K658
T23,K662
T24,K660
T25,K661
T26,K648
T27,K665
T28,K1413
T29,K668
T30,K1201
T31,K672
T32,K673
T33,K675
T34,K783
T35,K779
T36,K674
T37,K669
T38,K1422
T39,K676
T40,K681
T41,K1243
T42,K684
T43,K682
T44,K670
T45,K1234
T46,K686
T47,K687
T48,K690
T49,K677
T50,K688
T51,K671
T52,K1410
T53,K692
T54,K691
T55,K678
T56,K689
T57,K693
T58,K685
T59,K666
T60,K683
T61,K871
T62,K872
T63,K1253
T64,K679
T65,K680
T66,K694
T67,K667
T68,K720
T69,K1255
T70,K710
T71,K719
T72,K700
T73,K726
T74,K1181
T75,K715
T76,K722
T77,K707
T78,K701
T79,K695
T80,K805
T81,K1098
T82,K706
T83,K709
T84,K1411
T85,K1444
T86,K712
T87,K721
T88,K714
T89,K823
T90,K697
T91,K703
T92,K704
T93,K702
T94,K698
T95,K1451
T96,K999
T97,K725
T98,K717
T99,K650
T100,K651
T101,K745
T102,K731
T103,K750
T104,K1407
T105,K743
T106,K733
T107,K737
T108,K755
T109,K741
T110,K730
T111,K729
T112,K742
T113,K728
T114,K757
T115,K752
T116,K713
T117,K1240
T118,K708
T119,K727
T120,K410
T121,K1447
T122,K711
T123,K746A
T124,K736
T125,K649
T126,K1229
T127,K696
T128,K723
T129,K790
T130,K1428
T131,K705
T132,K699
T133,K716
T134,K724
T135,K749
T136,K748
T137,K751
T138,K756
T139,K732
T140,K738
T141,K774
T142,K772
T143,K771
T144,K754
T145,K753
T146,K734
T147,K735
T148,K758
T149,K740
T150A,K738
T150B,K882
T151,K813
T152,K206
T153,K988
T154,K799
T155,K403
T156,K402
T157,K126
T158,K125
T159,K1385
T161,K506
T162,K370
T163,K496
T164,K488
T165,K1469
T166,K1173
T167,K212
T168,K210
T169,K466
T170,K479
T171,K207
T172,K512
T173,K1467
T174,K208
T175,K209
T176,K502
T177,K499
T178,K251
T179,K252
T180,K517
T181,K211
T182,K462
T183,K509
T184,K765
T185,K775
T186,K112
T187,K111
T188,K468
T189,K777
T190,K802
T191,K1172
T192,K980
T193,K979
