Koreana ID,Title (Chinese),volume start,page start,page end ,volume end,Taisho ID,Title (Korean),Other IDs,,
K 1,般若波羅蜜多經,1,137,514,8,T220,반야파라밀다경,(H. 219),,
K 1(1),,,,,,T220(1),,"(I:1),(H. 219(1))",,
K 1(2),,,,,,T220(2),,"(III:839),(H. 219(2))",,
K 1(3),,,,,,T220(3),,"(IV:235),(H. 219(3))",,
K 1(4),,,,,,T220(4),,"(IV:753),(H. 219(4))",,
K 1(5),,,,,,T220(5),,"(IV:911),(H. 219(5))",,
K 1(6),,,,,,T220(6),,"(IV:996),(H. 219(6))",,
K 1(7),,,,,,T220(7),,"(IV:1062),(H. 219(7))",,
K 1(8),,,,,,T220(8),,"(IV:1078),(H. 219(8))",,
K 1(9),,,,,,T220(9),,"(IV:1086),(H. 219(9))",,
K 1(10),,,,,,T220(10),,"(IV:1096),(H. 219(10))",,
K 1(11),,,,,,T220(11),,"(IV:1104),(H. 219(11))",,
K 1(12),,,,,,T220(12),,"(IV:1146),(H. 219(12))",,
K 1(13),,,,,,T220(13),,"(IV:1185),(H. 219(13))",,
K 1(14),,,,,,T220(14),,"(IV:1194),(H. 219(14))",,
K 1(15),,,,,,T220(15),,"(IV:1202),(H. 219(15))",,
K 1(16),,,,514,8,T220(16),,"(IV:1218),(H. 219(16))",,
K 2,放光般若波羅蜜經,8,515,737,8,T221,방광반야바라밀경,"(V:1),(H. 220)",,
K 3,摩訶般若波羅蜜經,9,7,308,9,T223,마가반약파라밀경,"(V:225),(H. 222)",,
K 4,光讚經,9,309,414,9,T222,광찬경,"(V:527),(H. 221)",,
K 5,摩訶般若抄經,9,415,458,9,T226,마하반야초경,"(V:633),(H. 225)",,
K 6,道行般若經,9,459,540,9,T224,도행반야경,"(V:677),(H. 223)",,
K 7,小品般若波羅蜜經,9,541,618,9,T227,소품반야바라밀경,"(V:759),(H. 226)",,
K 8,勝天王般若波羅蜜經,9,619,678,9,T231,승천왕반야바라밀경,"(V:837),(H. 230)",,
K 9,大明度經,10,7,52,10,T225,대명도경,"(V:897),(H. 224)",,
K 10,文殊師所說摩訶般若波羅蜜經,10,53,64,10,T232,문수사소설마하반야바라밀경,"(V: 943),(H. 231)",,
K 11,文殊師所說般若波羅蜜經,10,65,74,10,T233,문수사소설반야바라밀경,"(V: 955),(H. 232)",,
K 12,濡首菩薩無上淸淨分衞經,10,75,88,10,T234,유수보살무상청정분위경,"(V: 965),(H. 233)",,
K 13,金剛般若波羅蜜經,10,89,94,10,T235,금강반야바라밀경,"(V: 979),(H. 234)",,
K 14,金剛般若波羅蜜經,10,95,102,10,T236,금강반야바라밀경,"(V: 985),(H. 235)",,
K 15,金剛般若波羅蜜經,10,103,110,10,T237,금강반야바라밀경,"(V:993),(H. 236)",,
K 16,能斷金剛般若波羅蜜經,10,111,120,10,T220(9),능단금강반야바라밀경,"(V: 1001),(H. 219)",,
K 17,能斷金剛般若波羅蜜多經,10,121,126,10,T239,능단금강반야바라밀다경,"(V: 1011),(H. 237)",,
K 18,實相般若波羅蜜多經,10,127,130,10,T240,실상반야바라밀다경,"(V: 1017),(H. 238)",,
K 19,仁王般若波羅蜜經,10,131,144,10,T245,인왕반야바라밀경,"(V: 1021),(H. 242)",,
K 20,般若波羅蜜多心經,10,145,146,10,T251,반야바라밀다심경,"(V: 1035),(H. 248)",,
K 21,摩訶般若波羅蜜大明呪經,10,147,148,10,T250,마하반야바라밀대명주경,"(V: 1037),(H. 247)",,
K 22,大寶積經,10,149,407,11,T310,대보자경,"(V:1),(H. 302)",,
K 22(1),三律儀會,10,156,172,10,T310(1),삼률의회,"(V:1),(H. 302)",,
