Taisho Number,Qisha Number
0403,0072
0313,0028
0921,1386
1508,1054
0151,0831
0529,0845
1039,1351
0126,1244
0370,0460
0373,0206
0362,0026
0366,0205
0140,0754
0046,0695
0495,0785
0494,0859
0493,0837
0149,0759
1013,0342
1015,0344
0492b,0783
0058,0706
1545,0975
1544,0967
1537,0968
1553,0984
1605,0591
1536,0969
1540,0971
1558,0978
1560,0977
1559,0976
1542,0972
1539,0970
1562,0979
1606,0595
1563,0980
1543,0966
1546,0974
1557,1048
1550,0981
0141,0790
0266,0137
2043,1039
2044,1038
2045,1041
2042,1040
1237,0449
0626,0192
0337,0042
0509,0268
0508,0807
1394,0453
0429,0517
1684,1258
1685,1257
1168A,1237
0490,1476
1167,1381
0779,0532
0431,0294
0089,0842
0430,0293
0427,0280
1365,0465
0581,0804
0756,0903
0428,0292
0112,0770
1498,1341
1396,0477
1395,0464
0419,0070
0368,0203
0368,0204
0010,1333
1614,0653
0444,0383
0661,0254
0662,0260
1569,0600
1369b,0473
0209,1012
1572,0654
0378,0110
0006,0671
0391,0510
1004,1398
0251,0020
1566,0597
0418,0069
0831,0257
0317,0031
1377,1315
1526,0571
0356,0258
0462,0152
0399,0076
0637,0174
1412,1171
0488,1261
0433,0377
1285,1277
0402,0080
1656,0639
1635,1336
0660,0135
0437,1165
0658,0136
1283,1179
0686,0296
0157,0128
0713,0274
0159,1335
0765,0822
0036,0688
0503,0900
1427,0920
2063,1107
0504,0906
1480,1161
1479,1160
1406,0455
1407,1256
0090,0729
1547,0994
0067,0712
0242,1209
0830,0231
2116,1523
0544,0877
2110,1099
1600,0619
1601,0617
0100,0669
1690,1063
1384,1249
1426,0919
0122,0738
0790,0392
0705,1202
2033,1000
0645,0141
1202,1344
1002,1496
1092,0301
1094,0311
1096,0305
1097,0303
1093,0302
1095,0304
0445,0409
0484,0397
0843,1300
0267,0138
0668,0503
0107,0766
0510,0269
1143,1251
0710,1371
1142,1267
0573,0513
0616,1028
0613,0802
0605,0827
0604,0899
0609,1029
0001,0665
0013,0681
0161,0539
0584,0904
0638,0402
0434,0387
0840,0265
0367,0208
1349,0316
1000,1445
0630,0376
1646,0989
1591,0631
1585,0633
1609,0622
1351,0361
1370,1183
1169,1233
0481,0147
0482,0148
1162,0466
0785,0813
0585,0144
0963,1471
0498,1320
0707,0887
0791,0830
2145,1076
0837,0485
1018,0347
1009,1362
1012,0339
1243,1122
0212,1005
0489,1337
0744,0390
1323,1383
0730,0828
2079,1531
2078,1530
2080,1532
0618,1027
0398,0075
1478,0947
0144,0755
1379,1243
0602,0825
0977,1528
0977,1527
0376,0109
0007,0672
0374,0107
0375,1435
0377,0108
1527,0584
0220,0001
1005A,1368
0310,0023
1523,0570
0158,0127
0892,1460
0380,0112
1066,1509
1470,0962
2053,1094
1667,0641
1666,0640
0270,0427
1340,0404
0156,0416
1339,0411
0945,0439
1331,0177
1331,0178
1331,0179
1331,0180
1331,0181
1331,0182
1331,0183
1331,0184
1331,0185
1331,0186
1331,0187
1331,0188
1392,1135
1048,1134
1252b,1364
1253,1357
1381,1276
1335,0446
0012,1304
0424,1405
0397,0057
0416,0071
0496,0849
0352,1148
0008,1433
1415,1175
1401,1231
0988,0321
0817,0199
0983A,1456
0986,0319
0987,0320
0985,0322
0243,1354
0243,1485
1003,1394
1119,1439
0225,0009
1257,1177
0848,0440
0856,1477
1367,0450
1368,0451
0857,1466
0272,0166
0019,1198
2146,1077
1438,0937
0052,1294
1266,1457
1176,1479
0625,0132
2149,1080
2087,1089
2066,1095
0956,0438
0964,1472
1341,0405
0834,0217
1225,1463
1146,1417
1260,1453
0177,0506
0723,1065
0216,0858
0387,0167
0991,0169
0989,1369
0993,0168
0992,0170
0594,1170
1669,1519
1577,0634
0045,1269
1509,0567
0818,0200
0187,0113
0201,0606
0395,0535
0607,1007
0816,0134
0224,0006
0709,0276
0545,0247
0785,0812
0339,0043
0703,0861
0381,0142
0288,0100
1200,1361
0413,1356
0411,0060
0249,1212
0015,1289
0940,1410
0826,0875
0833,0216
0165,1498
0039,0690
0477,0124
0478,0125
1354,0363
0280,0106
0078,0723
0903,1399
0808,0239
0292,0102
0358,0202
0302,0084
0740,0889
0746,0782
1576,1325
0327,0037
1659,0642
0838,1301
0819,0540
0763,1505
0611,1031
0034,0794
0269,0115
0761,0418
0764,1151
0213,1144
1626,0662
1627,1515
0322,0033
0210,1043
0211,1044
0631,0565
0396,0528
0766,1285
1551,0982
0792,0833
2085,1096
0104,1297
2122,1113
2030,1067
0521,0893
0076,0720
0567,0374
1484,0545
0021,0675
0020,0674
0071,0716
0051,0700
1467a,0949
1632,0644
0629,0194
0221,0002
0123,0750
0084,1295
1507,0996
0738,0838
0081,1126
0729,0829
0717,0161
0718,1296
0421,0079
1482,0960
0005,0670
0190,0821
0193,1003
0389,0484
0541,0869
0680,0483
1530,0572
1025,1127
0969,0336
0967,0337
0968,0335
0971,0340
0972,1387
0438,1338
0303,0085
1681,1318
0390,0516
0392,0891
0440,0406
0145,0756
1152,1311
1518,1330
1517,1327
0229,1226
0228,1298
0982,1370
0394,1020
1678,1262
0192,1002
0815,0133
2029,1021
0499,0846
0599,0508
0075,0719
0502,0852
0601,1169
0593,0286
0080,0824
0524,1464
1610,0615
1679,1201
0793,1015
0350,0053
0621,0486
0832,0380
0653,0552
0795,1022
0065,0710
0173,1328
2115,1533
0684,0895
2058,1013
0563,0242
0571,0862
1211,1423
2059,1097
2060,1098
2061,1434
1458,0956
1453,0936
1455,0924
1443,0913
1905,1514
1904,1513
1454,0923
1452,0916
1452,0915
1442,0912
1456,0954
1450,1517
1459,0952
1451,0914
1457,0953
2151,1082
2152,1083
0044,0694
0649,0419
0643,0415
0452,0209
0453,0212
0277,0395
1624,0647
1625,0648
0371,0391
1082,0308
1083,0309
0365,0207
0259,1167
0939,1234
0409,0066
1161,0396
1102,1425
1087,0482
1103b,0333
1117,1279
1085,1421
1086,1482
1081,0312
1037,1380
1623,0658
0218,1331
0695,0289
0696,0290
0549,1312
0222,0004
1570,0601
1571,0602
0268,0139
1006,0436
1676,1332
1116,1173
2103,1104
1664,1422
1613,0637
0097,0735
0734,0780
1262,0892
0148,0758
0180,0536
0189,0793
0446a,0407
0035,0795
0598,0393
0400,1427
1261,1377
0538,0860
0664,0130
0583,0844
0033,0687
2102,1103
0069,1291
0321,1232
0748,0881
1139,0366
1901,1110
1028A,0462
1359,1190
1356,0355
1358,0357
0657,0410
0278,0081
0279,0082
0300,0089
1019,1397
0306,0087
0295,0104
2128,1088
0891,1229
1378b,0454
0324,0035
1631,0649
0345,0049
0632,0175
1229,1343
1228,1342
1637,1310
2104,1091
1636,1521
2108,1093
2106,1092
0382,0143
1638,1305
1982,1105
0130,1303
0274,0149
1490,0557
0648,0501
0022,0677
2028,1066
0393,1017
2027,1045
1469,0948
1691,1240
0465,0244
0467,0246
0574,0504
0733,0809
0094,0733
0514,0284
0285,0097
0796,0857
0506,0836
1683,1206
0759,1130
0290,1239
0787,0300
0788,0299
0595,1131
1433,0942
0677,0157
1620,0655
0676,0156
1648,0991
1460,0929
0063,1288
0804,1205
0116,0736
1497,1218
0117,1280
1477,0950
1464,0958
0235,0011
0236a,0012
0236b,0013
1511,0575
1510b,0573
1515,0578
1416,1495
1345,0353
0886,1317
1172,1511
1173,0481
0874,1504
0932,1493
1171,1359
0873,1384
1123,1391
0865,1346
0908,1395
1209,1448
1125,1396
1125,1451
0869,1366
1175,1486
0241,1484
0789,1352
1056,1385
1122,1449
0876,1348
1665,1516
0866,0444
0867,1441
1027b,0448
1130,0090
1227,1347
1033,1345
1138b,0365
0238,0014
1272,1228
0644,0520
0273,0527
1344,0352
1199,1492
1129,1221
1133,1452
1132,1390
1170,1227
1642,1163
0665,0129
2137,1068
0162,0381
1414,1316
0546,1129
0798,0811
2121,1073
2076,1292
0512,0810
1494,0544
0755,1307
1611,0620
0150B,0898
0181b,0226
0715,1272
0206,1034
1313,1379
1314,0474
0543,1461
1385,1245
0325,0036
0762,1290
1584,0616
0811,0256
2154,1086
2155,1111
0984,0318
0053,0701
0055,0703
0068,0713
0170,0496
0561,0233
0560,0234
0559,0232
0056,0704
0566,0218
0670,0162
1588,0628
0487,0500
0338,0041
0047,0696
0829,0229
0261,1459
1644,0990
2034,1078
0135,0745
0647,0413
0386,0433
1411,1166
1325,0908
0708,0272
0247,1412
0577,0505
0513,0817
0725,1143
0152,0221
1607,0661
1360,0467
0491,1052
1575,1314
1046,0452
1180,0327
1045b,0359
1044,0358
0557,0278
0558,0279
1674,1062
1672,1060
2047b,1057
0597,0799
0704,1124
0023,0680
0057,0705
0539,0885
0182b,0494
1461,0965
0799,0907
1817,0577
0870,1487
0038,1408
0747b,0866
0294,0103
0500,0851
1330,1241
1390,1255
2046,1056
0115,0772
0114,0771
0732,0826
0108,0767
1101,1353
1101,1454
1196,1263
1196,1440
1182,0315
0739,0784
0456,0220
0457,0211
0349,0052
1525,0569
0455,0213
0454,0210
1421,0917
1424,0939
0681,0431
0682,1392
1366,1278
0883,1429
0884,1326
0896,1164
1364,0349
0841,0266
0262,0118
0264,0120
1520,0580
1519,0581
0722,1141
1194,1510
1192,1437
1193,1497
0473,1474
1186,1264
1242,1235
1217,1230
1386,1247
0163,0511
1399,1252
0435,0493
0397,0425
0519,0872
1300,0778
0552,0777
0551,0776
0226,0005
0250,0019
0223,0003
0497,0864
0383,0389
1425,0909
0351,0054
1255b,0328
1255a,1468
1393,0461
0589,0495
0066,0711
1254,1506
0517,0871
0786,0882
1468,1153
1483b,0955
1007,0443
1670B,1025
0554,0801
0553,0797
2125,1106
0113,0774
0610,1030
0807,0369
0220,0016
0239,0015
1514,0574
1513,0576
1324,1382
1810,0946
0011,1329
